ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
î≠éUΩÿØƒ	1/2Åã
éUóêΩÿØƒ	1/2Åã
éÛåıΩÿØƒ	0.15mm
”…∏€éÛåıΩÿØƒ	0.8mm
Start	90
Stop	110
Step	0.02
90	16.6667
90.02	0
90.04	25
90.06	0
90.08	16.6667
90.1	8.33333
90.12	16.6667
90.14	0
90.16	0
90.18	0
90.2	8.33333
90.22	0
90.24	0
90.26	0
90.28	0
90.3	0
90.32	16.6667
90.34	8.33333
90.36	0
90.38	0
90.4	8.33333
90.42	0
90.44	16.6667
90.46	8.33333
90.48	16.6667
90.5	0
90.52	16.6667
90.54	0
90.56	8.33333
90.58	8.33333
90.6	0
90.62	8.33333
90.64	0
90.66	8.33333
90.68	16.6667
90.7	8.33333
90.72	8.33333
90.74	16.6667
90.76	16.6667
90.78	0
90.8	8.33333
90.82	16.6667
90.84	16.6667
90.86	0
90.88	8.33333
90.9	16.6667
90.92	0
90.94	16.6667
90.96	8.33333
90.98	50
91	0
91.02	33.3333
91.04	16.6667
91.06	0
91.08	16.6667
91.1	0
91.12	16.6667
91.14	0
91.16	16.6667
91.18	0
91.2	8.33333
91.22	8.33333
91.24	8.33333
91.26	0
91.28	0
91.3	8.33333
91.32	8.33333
91.34	8.33333
91.36	8.33333
91.38	16.6667
91.4	0
91.42	16.6667
91.44	0
91.46	16.6667
91.48	8.33333
91.5	8.33333
91.52	0
91.54	0
91.56	8.33333
91.58	16.6667
91.6	16.6667
91.62	8.33333
91.64	8.33333
91.66	8.33333
91.68	0
91.7	8.33333
91.72	0
91.74	0
91.76	16.6667
91.78	8.33333
91.8	16.6667
91.82	8.33333
91.84	25
91.86	0
91.88	8.33333
91.9	0
91.92	0
91.94	0
91.96	16.6667
91.98	0
92	8.33333
92.02	25
92.04	33.3333
92.06	8.33333
92.08	16.6667
92.1	16.6667
92.12	16.6667
92.14	0
92.16	25
92.18	8.33333
92.2	8.33333
92.22	8.33333
92.24	8.33333
92.26	8.33333
